141,141
141,139
237,140
239,137
242,136
243,132
245,132
248,128
257,123
281,97
281,95
279,94
284,92
285,85
287,84
287,81
291,76
291,70
298,50
298,0
501,0
503,10
505,44
507,47
508,57
512,65
512,71
515,80
517,81
517,76
522,88
524,89
529,99
532,101
532,103
535,105
535,107
538,109
541,115
548,122
548,124
546,124
547,127
560,140
586,141
648,147
704,146
705,154
707,156
710,168
714,174
714,178
719,188
723,204
726,207
727,214
731,220
732,228
735,232
738,244
740,245
740,248
744,253
745,260
748,263
748,267
751,269
752,276
758,288
758,292
760,294
763,305
765,306
766,311
768,312
769,317
772,321
772,328
774,330
774,335
778,342
778,348
781,354
782,368
778,376
776,377
775,381
767,391
766,395
762,399
761,403
757,407
746,430
746,446
748,451
753,491
753,522
748,545
737,567
736,585
731,607
729,628
723,657
714,734
702,804
699,844
699,901
703,934
710,962
712,964
718,982
722,988
730,1011
740,1030
746,1047
751,1055
751,1058
756,1066
756,1069
759,1073
759,1076
763,1082
763,1085
769,1097
771,1106
773,1108
775,1117
780,1128
784,1146
793,1170
793,1174
795,1177
795,1181
797,1184
802,1204
807,1239
808,1260
805,1259
803,1262
801,1262
799,1265
797,1265
795,1268
789,1271
786,1275
780,1278
777,1282
771,1284
764,1290
757,1292
755,1295
753,1295
739,1307
731,1310
727,1315
721,1317
720,1319
717,1319
696,1331
681,1335
679,1337
661,1343
642,1353
630,1356
628,1358
617,1359
607,1364
603,1364
594,1367
588,1371
582,1372
578,1375
577,1378
575,1378
572,1384
562,1393
560,1393
555,1399
551,1400
548,1404
545,1404
538,1409
525,1412
524,1414
520,1414
523,1413
523,1411
518,1411
508,1414
484,1414
451,1417
331,1417
326,1419
302,1420
300,1417
297,1417
288,1410
277,1408
276,1406
272,1406
269,1404
264,1404
264,1402
262,1401
246,1399
244,1397
233,1395
231,1392
223,1391
220,1388
216,1388
210,1384
197,1380
191,1376
185,1375
183,1372
180,1372
179,1370
173,1367
169,1367
167,1364
160,1362
158,1359
148,1355
147,1353
143,1353
141,1350
136,1349
136,1347
128,1346
125,1343
121,1343
117,1340
114,1340
111,1337
105,1336
104,1334
92,1332
90,1330
86,1330
69,1324
59,1324
56,1321
50,1320
49,1318
42,1316
38,1311
35,1311
33,1308
24,1304
21,1300
15,1297
6,1287
0,1286
15,1219
19,1189
22,1179
23,1167
26,1157
28,1139
34,1111
43,1085
51,1069
51,1066
55,1060
55,1057
60,1049
60,1046
64,1038
66,1037
71,1025
73,1024
107,955
116,913
122,864
122,834
119,806
114,779
109,762
108,752
106,748
106,743
94,696
91,674
87,661
85,638
81,617
80,596
69,586
69,584
63,578
56,563
50,539
51,509
68,459
68,442
66,427
62,414
53,396
51,395
50,391
45,386
41,378
38,379
38,373
41,372
43,364
46,361
46,357
49,355
49,352
52,348
53,342
55,341
61,328
64,326
66,316
68,315
72,307
73,301
75,300
75,297
79,293
79,289
85,282
87,274
91,269
91,266
95,260
100,245
103,242
103,238
106,236
106,233
109,230
109,227
111,226
112,221
115,218
115,215
117,214
117,211
123,202
125,194
132,181
133,171
137,166
