242,242
242,205
245,182
251,156
257,139
259,137
259,134
265,124
265,121
276,99
278,98
283,87
285,86
285,84
287,83
287,81
297,68
297,66
300,64
300,62
320,42
322,42
324,39
326,39
333,33
337,32
338,30
352,23
388,11
402,9
417,4
427,3
425,2
426,0
432,2
432,205
431,218
429,221
429,244
427,263
427,311
424,341
424,359
422,368
422,401
424,405
426,423
426,528
424,556
417,576
415,578
415,581
413,583
399,628
395,636
395,640
393,643
393,647
391,650
391,654
389,657
388,665
386,668
385,676
383,679
382,687
380,690
379,698
374,713
366,757
362,808
357,831
351,844
351,847
349,849
349,852
344,860
344,863
336,877
321,922
321,926
316,938
316,942
311,954
311,958
303,982
301,984
299,993
297,995
295,1004
293,1006
290,1018
288,1020
287,1026
285,1028
284,1034
282,1036
281,1042
279,1044
273,1062
270,1066
264,1083
258,1093
258,1096
252,1106
252,1109
220,1173
218,1174
218,1177
216,1178
206,1198
206,1201
189,1235
187,1236
151,1309
151,1312
146,1320
146,1323
143,1327
143,1330
140,1334
140,1337
131,1356
125,1378
124,1380
116,1380
112,1377
103,1376
101,1374
97,1374
91,1371
85,1371
83,1370
83,1368
80,1368
79,1366
71,1363
70,1360
67,1360
64,1357
60,1357
56,1353
51,1352
47,1348
42,1348
32,1341
28,1341
27,1339
17,1334
12,1329
9,1329
7,1326
1,1324
0,1322
2,1321
8,1303
12,1296
13,1290
20,1275
30,1245
36,1218
45,1190
53,1155
62,1128
70,1093
72,1090
72,1086
74,1083
79,1063
81,1049
90,1015
96,978
99,968
99,962
102,952
114,872
114,864
120,833
124,821
130,811
130,808
152,764
154,763
171,727
173,726
173,723
179,711
181,701
191,674
196,652
199,646
202,629
212,593
214,579
220,561
226,530
230,518
242,439
243,411
245,398
245,334
242,295
