x,y
344,344
344,210
347,210
348,212
351,212
352,214
355,214
359,218
363,219
374,229
375,233
377,234
380,240
383,252
383,269
385,276
385,307
387,323
387,361
389,365
389,379
391,381
391,389
393,391
393,397
397,405
399,416
403,423
403,427
405,427
405,433
407,433
407,439
409,440
409,445
411,447
411,455
413,457
413,465
415,468
417,492
419,495
419,505
421,508
421,517
423,520
425,538
427,541
427,546
431,555
431,559
433,561
433,564
435,565
434,569
419,574
417,576
413,576
411,568
409,567
409,563
407,562
407,558
405,558
405,554
401,549
398,537
396,535
395,530
393,529
393,526
387,514
386,508
382,501
382,497
380,496
380,492
378,491
378,488
375,484
368,463
366,462
364,454
362,453
360,445
358,444
358,441
356,439
354,426
354,408
352,405
352,396
348,385
344,357
