x,y
342,529
344,530
344,534
346,537
348,552
350,555
350,563
352,566
352,619
350,623
350,635
348,638
348,649
344,669
342,706
340,712
340,723
338,725
338,736
336,739
336,749
334,752
333,769
334,801
336,804
338,819
340,820
340,826
342,828
342,832
344,835
347,864
346,902
342,930
342,943
340,950
340,986
318,986
318,971
316,966
313,941
311,939
309,925
307,923
307,917
305,916
305,911
303,909
303,905
300,899
300,895
297,888
297,881
295,877
295,863
297,851
297,828
295,823
295,813
287,797
285,796
285,792
283,791
283,786
281,784
279,763
277,757
277,745
275,739
274,713
272,709
271,696
277,694
277,692
280,692
280,690
285,688
285,686
287,686
294,678
295,674
297,674
304,653
303,630
301,623
297,617
297,614
295,614
295,611
286,601
284,601
284,599
282,599
280,596
273,593
272,591
268,591
267,589
250,586
233,587
231,589
226,589
226,591
222,591
221,593
218,593
217,595
212,597
212,599
210,599
196,615
190,633
190,655
196,673
202,679
202,681
210,689
213,690
213,692
220,694
220,696
224,696
225,700
220,730
221,769
217,786
215,787
212,800
210,801
207,818
208,839
210,843
211,855
211,872
208,897
206,900
206,907
204,909
204,915
202,917
202,923
200,925
198,939
196,942
193,964
193,976
173,977
171,976
171,954
169,950
169,938
167,935
167,925
165,921
165,913
163,908
160,874
161,834
163,825
163,815
165,809
165,797
167,791
167,747
165,744
165,738
161,726
161,719
159,717
159,706
157,704
157,694
155,692
155,681
153,679
153,669
151,666
151,657
149,655
149,645
147,642
147,634
145,629
145,619
143,612
143,595
141,588
141,555
143,548
143,532
144,530
